SID	DID	Source	Destination	Passengers	Seats	Flights	Distance	Date	SPopulation	DPopulation
PIT	ERI	Pittsburgh, PA	Erie, PA	100611	170022	1388	109	1998	2418452	278114
PVD	ERI	Providence, RI	Erie, PA	0	115	1	452	1998	1504679	278114
GSO	ERI	Greensboro, NC	Erie, PA	0	115	1	413	1999	605077	276993
BUF	ERI	Buffalo, NY	Erie, PA	28	30	1	95	1999	1142121	276993
BGM	ERI	Binghamton, NY	Erie, PA	90	100	1	216	2000	252042	280734
PVD	ERI	Providence, RI	Erie, PA	128	142	1	452	2000	1586744	280734
CLE	ERI	Cleveland, OH	Erie, PA	20362	36983	1563	98	2000	2147948	280734
AVP	ERI	Scranton, PA	Erie, PA	44	140	1	236	2001	555681	281524
SBN	ERI	South Bend, IN	Erie, PA	8	19	1	318	2001	316657	281524
ROC	ERI	Rochester, NY	Erie, PA	21	80	2	147	2001	1041069	281524
BTV	ERI	Burlington, VT	Erie, PA	31	50	1	391	2001	201094	281524
PVD	ERI	Providence, RI	Erie, PA	42	50	1	452	2001	1596350	281524
DTW	ERI	Detroit, MI	Erie, PA	33160	55942	1548	163	2002	8972134	281920
CLE	ERI	Cleveland, OH	Erie, PA	0	0	177	98	2002	2140552	281920
SBN	ERI	South Bend, IN	Erie, PA	33	100	2	318	2003	315623	282200
YIP	ERI	Detroit, MI	Erie, PA	0	0	1	172	2003	8985512	282200
CLE	ERI	Cleveland, OH	Erie, PA	8405	17536	1613	98	2003	2136026	282200
JHW	ERI	Jamestown, NY	Erie, PA	0	0	1	48	2003	136904	282200
SBN	ERI	South Bend, IN	Erie, PA	41	50	1	318	2004	315680	279790
PHL	ERI	Philadelphia, PA	Erie, PA	13625	24481	492	300	2004	11645752	279790
JHW	ERI	Jamestown, NY	Erie, PA	0	0	2	48	2004	136273	279790
DAY	ERI	Dayton, OH	Erie, PA	41	59	1	259	2004	845594	279790
YNG	ERI	Youngstown, OH	Erie, PA	0	244	2	62	2005	580716	278933
CRW	ERI	Charleston, WV	Erie, PA	10	19	1	266	2005	304426	278933
SYR	ERI	Syracuse, NY	Erie, PA	49	50	1	220	2005	646130	278933
AVP	ERI	Scranton, PA	Erie, PA	0	19	1	236	2005	548529	278933
PHL	ERI	Philadelphia, PA	Erie, PA	34109	53500	1066	300	2006	11761824	279929
DCA	ERI	Washington, DC	Erie, PA	3	50	1	277	2006	10530024	279929
ATL	ERI	Atlanta, GA	Erie, PA	7655	10650	256	626	2006	5119641	279929
ORD	ERI	Chicago, IL	Erie, PA	27	50	1	398	2006	18797710	279929
CLE	ERI	Cleveland, OH	Erie, PA	17505	32770	2006	98	2007	2099185	279804
PVD	ERI	Providence, RI	Erie, PA	50	50	1	452	2008	1599312	279647
DTW	ERI	Detroit, MI	Erie, PA	58085	79818	1717	163	2008	8847562	279647
IND	ERI	Indianapolis, IN	Erie, PA	0	0	15	358	2009	1743658	280291
CLE	ERI	Cleveland, OH	Erie, PA	31553	44335	1624	98	2009	2091286	280291
SLC	GYY	Salt Lake City, UT	Gary, IN	220	248	2	1277	1992	811613	8360170
SLC	GYY	Salt Lake City, UT	Gary, IN	952	992	8	1277	1995	867700	8577535
EKO	GYY	Elko, NV	Gary, IN	653	992	8	1473	1997	47413	8702632
PUB	GYY	Pueblo, CO	Gary, IN	230	248	2	934	1999	136987	8827505
MSP	GYY	Minneapolis, MN	Gary, IN	0	0	1	369	2000	2981616	9117732
SLC	GYY	Salt Lake City, UT	Gary, IN	1111	1223	10	1277	2000	972653	9117732
OMA	GYY	Omaha, NE	Gary, IN	115	246	2	440	2001	775380	9192501
EKO	GYY	Elko, NV	Gary, IN	68	122	1	1473	2001	46622	9192501
BUF	GYY	Buffalo, NY	Gary, IN	0	0	2	454	2001	1163528	9192501
HSV	GYY	Huntsville, AL	Gary, IN	0	0	2	482	2001	347907	9192501
DSM	GYY	Des Moines, IA	Gary, IN	74	124	1	323	2001	490191	9192501
ELP	GYY	El Paso, TX	Gary, IN	0	0	1	1247	2003	694672	9286162
ATL	GYY	Atlanta, GA	Gary, IN	56	120	2	574	2003	4673146	9286162
TOL	GYY	Toledo, OH	Gary, IN	0	0	1	187	2003	669292	9286162
WGO	GYY	Winchester, VA	Gary, IN	0	0	1	518	2003	110341	9286162
CLT	GYY	Charlotte, NC	Gary, IN	0	0	1	564	2003	1436890	9286162
BWI	GYY	Baltimore, MD	Gary, IN	86	252	2	591	2004	2638066	9332090
LCK	GYY	Columbus, OH	Gary, IN	2421	8092	61	266	2004	1696238	9332090
SHV	GYY	Shreveport, LA	Gary, IN	0	0	1	724	2004	379457	9332090
LIT	GYY	Little Rock, AR	Gary, IN	0	0	1	542	2004	637233	9332090
FWA	GYY	Fort Wayne, IN	Gary, IN	0	0	1	124	2005	402638	9362080
GPT	GYY	Gulfport, MS	Gary, IN	0	148	1	779	2005	256655	9362080
IND	GYY	Indianapolis, IN	Gary, IN	0	0	2	143	2006	1671898	9398855
TCL	GYY	Tuscaloosa, AL	Gary, IN	41	74	3	579	2006	203919	9398855
DRT	GYY	Del Rio, TX	Gary, IN	0	0	1	1138	2006	47241	9398855
MCO	GYY	Orlando, FL	Gary, IN	322	1344	8	972	2006	1999994	9398855
FNT	GYY	Flint, MI	Gary, IN	0	0	1	210	2007	434086	9451936
BRO	GYY	Brownsville, TX	Gary, IN	0	0	1	1225	2007	382703	9451936
ELP	GYY	El Paso, TX	Gary, IN	0	0	5	1247	2007	727828	9451936
DTW	GYY	Detroit, MI	Gary, IN	0	0	1	214	2007	8913164	9451936
LAN	GYY	Lansing, MI	Gary, IN	0	120	1	166	2007	455516	9451936
MDW	GYY	Chicago, IL	Gary, IN	6	199	1	21	2008	19031272	9515636
CLE	GYY	Cleveland, OH	Gary, IN	0	120	1	289	2008	2094051	9515636
MCI	HYS	Kansas City, MO	Hays, KS	4	38	2	247	2002	1890419	27407
MCI	HYS	Kansas City, MO	Hays, KS	442	3743	197	247	2003	1912368	27302
GBD	HYS	Great Bend, KS	Hays, KS	1948	4959	261	41	2004	27738	27184
GCK	HYS	Garden City, KS	Hays, KS	31	76	4	101	2005	40518	27080
MCI	HYS	Kansas City, MO	Hays, KS	3418	5909	311	247	2006	1984954	27228
MCI	HYS	Kansas City, MO	Hays, KS	3369	6099	321	247	2007	2011857	27238
GBD	HYS	Great Bend, KS	Hays, KS	188	1026	54	41	2009	27464	27739
HNL	ITO	Honolulu, HI	Hilo, HI	591711	983198	7625	216	1990	838032	121458
HNL	ITO	Honolulu, HI	Hilo, HI	581346	979566	7722	216	1991	846594	126684
HNL	ITO	Honolulu, HI	Hilo, HI	674162	1057315	8160	216	1997	873115	140824
OGG	ITO	Kahului, HI	Hilo, HI	87415	196398	1522	121	1998	120624	141805
OAK	ITO	Oakland, CA	Hilo, HI	27700	39097	242	2329	2006	4162783	169540
OGG	ITO	Kahului, HI	Hilo, HI	26949	48870	2714	121	2006	140407	169540
SNA	ITO	Santa Ana, CA	Hilo, HI	101	124	1	2475	2007	12692603	173190
OGG	ITO	Kahului, HI	Hilo, HI	49682	76300	1348	121	2008	144378	176399
HNL	ITO	Honolulu, HI	Hilo, HI	602940	791108	9642	216	2008	902745	176399
LIT	AOH	Little Rock, AR	Lima, OH	0	0	2	609	2000	612149	108577
YIP	AOH	Detroit, MI	Lima, OH	0	0	3	109	2004	8996622	105780
BNA	AOH	Nashville, TN	Lima, OH	0	0	1	347	2006	1489156	105126
DCA	APC	Washington, DC	Napa, CA	9	13	1	2426	2007	10626066	131949
ATL	RNO	Atlanta, GA	Reno, NV	166	374	2	1993	1990	3087755	258859
LAX	RNO	Los Angeles, CA	Reno, NV	91510	176404	1542	390	1990	22585772	258859
SJC	RNO	San Jose, CA	Reno, NV	106794	211995	1766	188	1990	1534472	258859
LAS	RNO	Las Vegas, NV	Reno, NV	207641	405743	2838	345	1990	754581	258859
ACV	RNO	Eureka, CA	Reno, NV	0	270	3	251	1990	119596	258859
EWR	RNO	Newark, NJ	Reno, NV	408	559	2	2390	1990	16868983	258859
SEA	RNO	Seattle, WA	Reno, NV	103395	162230	1199	564	1991	5242050	265040
SLC	RNO	Salt Lake City, UT	Reno, NV	96672	151913	1166	422	1992	811613	270629
PHL	RNO	Philadelphia, PA	Reno, NV	181	274	2	2348	1992	10934282	270629
PDX	RNO	Portland, OR	Reno, NV	115629	189939	1359	444	1992	1614266	270629
SMF	RNO	Sacramento, CA	Reno, NV	9703	34214	266	113	1992	1583460	270629
DFW	RNO	Dallas, TX	Reno, NV	178016	285266	2151	1345	1992	8314270	270629
FAT	RNO	Fresno, CA	Reno, NV	59791	148285	1064	188	1993	717746	276956
SMF	RNO	Sacramento, CA	Reno, NV	3564	12522	95	113	1993	1598111	276956
PDX	RNO	Portland, OR	Reno, NV	260664	379692	2719	444	1994	1686298	285459
ORD	RNO	Chicago, IL	Reno, NV	1723	4266	33	1671	1994	17018756	285459
EKO	RNO	Elko, NV	Reno, NV	72	124	1	230	1995	42918	292936
HNL	RNO	Honolulu, HI	Reno, NV	190	298	1	2572	1995	871369	292936
MSP	RNO	Minneapolis, MN	Reno, NV	79576	103226	719	1406	1995	2725644	292936
ABQ	RNO	Albuquerque, NM	Reno, NV	1333	4060	29	787	1995	671859	292936
EUG	RNO	Eugene, OR	Reno, NV	9515	17800	178	365	1996	306326	301240
MSP	RNO	Minneapolis, MN	Reno, NV	70992	108261	712	1406	1997	2795024	309197
SEA	RNO	Seattle, WA	Reno, NV	413873	577601	4201	564	1997	5727624	309197
OMA	RNO	Omaha, NE	Reno, NV	969	1192	8	1262	1997	736106	309197
PHL	RNO	Philadelphia, PA	Reno, NV	119	144	1	2348	1998	11020546	315959
DTW	RNO	Detroit, MI	Reno, NV	73567	100735	732	1903	1998	8944948	315959
JFK	RNO	New York, NY	Reno, NV	125	168	1	2411	1998	34683010	315959
ANC	RNO	Anchorage, AK	Reno, NV	6918	11131	80	1973	1998	311411	315959
IAD	RNO	Washington, DC	Reno, NV	97	144	1	2249	1999	9231820	322804
MSP	RNO	Minneapolis, MN	Reno, NV	67404	107341	722	1406	1999	2872109	322804
AUS	RNO	Austin, TX	Reno, NV	106	139	1	1399	2000	1265715	344808
SAN	RNO	San Diego, CA	Reno, NV	35368	68479	517	488	2000	2824987	344808
LAS	RNO	Las Vegas, NV	Reno, NV	431184	558597	4148	345	2001	1456549	355153
RAP	RNO	Rapid City, SD	Reno, NV	0	0	1	917	2001	114177	355153
CLT	RNO	Charlotte, NC	Reno, NV	103	130	1	2141	2002	1406699	365239
CHA	RNO	Chattanooga, TN	Reno, NV	98	130	1	1918	2002	487718	365239
SJT	RNO	San Angelo, TX	Reno, NV	87	130	1	1220	2002	105781	365239
LIT	RNO	Little Rock, AR	Reno, NV	246	260	2	1550	2003	629617	374743
ABQ	RNO	Albuquerque, NM	Reno, NV	122	130	1	787	2003	766154	374743
PDX	RNO	Portland, OR	Reno, NV	109063	179565	1375	444	2003	2034000	374743
JFK	RNO	New York, NY	Reno, NV	102	168	1	2411	2003	37342640	374743
LAS	RNO	Las Vegas, NV	Reno, NV	459528	598752	4409	345	2003	1572924	374743
SAN	RNO	San Diego, CA	Reno, NV	3146	6152	45	488	2003	2926814	374743
DFW	RNO	Dallas, TX	Reno, NV	99417	115244	853	1345	2003	11164066	374743
ACT	RNO	Waco, TX	Reno, NV	112	130	1	1376	2003	219485	374743
OKC	RNO	Oklahoma City, OK	Reno, NV	348	390	3	1248	2003	1131487	374743
GJT	RNO	Grand Junction, CO	Reno, NV	0	50	1	603	2003	124510	374743
PHX	RNO	Phoenix, AZ	Reno, NV	250969	372001	2823	601	2003	3600163	374743
AMA	RNO	Amarillo, TX	Reno, NV	485	524	4	1034	2003	232791	374743
SEA	RNO	Seattle, WA	Reno, NV	202874	304754	2212	564	2003	6277876	374743
